Repository,Tool,Total_Components,Is_Empty,Execution_Time,Repository_Size,Java_Size,Type_algorithm,Type_related-crypto-material,Type_protocol,Type_library,Type_framework
dbeaver,cbomkit,15,False,141.89,197362,30342,6,7,2,0,0
dbeaver,cdxgen,0,True,222.01,197362,30342,0,0,0,0,0
dbeaver,deepseek,5,False,22.88,197362,30342,0,0,0,5,0
awesome-system-design-resources,cbomkit,0,True,0.52,2252,16,0,0,0,0,0
awesome-system-design-resources,cdxgen,0,True,1.68,2252,16,0,0,0,0,0
awesome-system-design-resources,deepseek,0,True,8.16,2252,16,0,0,0,0,0
zipkin,cbomkit,1,False,7.42,77289,1921,1,0,0,0,0
zipkin,cdxgen,351,False,56.66,77289,1921,0,0,0,216,135
zipkin,deepseek,6,False,42.75,77289,1921,0,0,0,6,0
spring-cloud-alibaba,cbomkit,1,False,6.59,55693,1367,1,0,0,0,0
spring-cloud-alibaba,cdxgen,388,False,153.93,55693,1367,0,0,0,234,154
spring-cloud-alibaba,deepseek,8,False,33.87,55693,1367,0,0,0,8,0
rocketmq,cbomkit,1,False,45.95,43857,13910,1,0,0,0,0
rocketmq,cdxgen,113,False,52.46,43857,13910,0,0,0,74,39
rocketmq,deepseek,9,False,27.01,43857,13910,0,0,0,9,0
cat,cbomkit,0,True,21.63,114117,19882,0,0,0,0,0
cat,cdxgen,54,False,50.21,114117,19882,0,0,0,31,23
cat,deepseek,4,False,16.62,114117,19882,0,0,0,4,0
tinker,cbomkit,2,False,7.57,7071,1660,2,0,0,0,0
tinker,cdxgen,0,True,7.1,7071,1660,0,0,0,0,0
tinker,deepseek,7,False,21.84,7071,1660,0,0,0,7,0
caffeine,cbomkit,0,True,8.71,109335,1440,0,0,0,0,0
caffeine,cdxgen,407,False,140.98,109335,1440,0,0,0,342,65
caffeine,deepseek,1,False,13.18,109335,1440,0,0,0,1,0
Stirling-PDF,cbomkit,4,False,8.18,90681,2137,4,0,0,0,0
Stirling-PDF,cdxgen,321,False,29.55,90681,2137,0,0,0,206,115
Stirling-PDF,deepseek,6,False,26.03,90681,2137,0,0,0,6,0
easyexcel,cbomkit,0,True,3.92,26334,1407,0,0,0,0,0
easyexcel,cdxgen,81,False,18.54,26334,1407,0,0,0,41,40
easyexcel,deepseek,3,False,19.45,26334,1407,0,0,0,3,0
APIJSON,cbomkit,0,True,3.94,73205,749,0,0,0,0,0
APIJSON,cdxgen,0,True,5.73,73205,749,0,0,0,0,0
APIJSON,deepseek,7,False,21.22,73205,749,0,0,0,7,0
Grasscutter,cbomkit,0,True,0.36,101542,3369,0,0,0,0,0
Grasscutter,cdxgen,98,False,45.91,101542,3369,0,0,0,62,36
Grasscutter,deepseek,9,False,26.64,101542,3369,0,0,0,9,0
DoKit,cbomkit,248,False,20.02,58612,4195,18,229,1,0,0
DoKit,cdxgen,0,True,7.49,58612,4195,0,0,0,0,0
DoKit,deepseek,6,False,20.04,58612,4195,0,0,0,6,0
spring-framework,cbomkit,0,True,127.38,232004,48307,0,0,0,0,0
spring-framework,cdxgen,619,False,58.63,232004,48307,0,0,0,456,163
spring-framework,deepseek,10,False,32.51,232004,48307,0,0,0,10,0
Telegram,cbomkit,14,False,500.41,607147,68550,11,3,0,0,0
Telegram,cdxgen,0,True,18.57,607147,68550,0,0,0,0,0
Telegram,deepseek,9,False,32.13,607147,68550,0,0,0,9,0
GSYVideoPlayer,cbomkit,2,False,7.46,338257,1537,1,0,1,0,0
GSYVideoPlayer,cdxgen,279,False,144.49,338257,1537,0,0,0,262,17
GSYVideoPlayer,deepseek,3,False,23.13,338257,1537,0,0,0,3,0
vhr,cbomkit,0,True,1.33,8480,452,0,0,0,0,0
vhr,cdxgen,124,False,22.75,8480,452,0,0,0,54,70
vhr,deepseek,4,False,20.08,8480,452,0,0,0,4,0
jenkins,cbomkit,26,False,30.92,166265,12157,15,10,1,0,0
jenkins,cdxgen,77,False,92.0,166265,12157,0,0,0,59,18
jenkins,deepseek,6,False,22.25,166265,12157,0,0,0,6,0
spring-boot-demo,cbomkit,1,False,4.03,14194,599,1,0,0,0,0
spring-boot-demo,cdxgen,504,False,165.22,14194,599,0,0,0,258,246
spring-boot-demo,deepseek,4,False,26.33,14194,599,0,0,0,4,0
litemall,cbomkit,1,False,17.47,24591,3866,1,0,0,0,0
litemall,cdxgen,164,False,32.6,24591,3866,0,0,0,103,61
litemall,deepseek,5,False,27.21,24591,3866,0,0,0,5,0
mybatis-plus,cbomkit,9,False,9.11,31814,3254,3,6,0,0,0
mybatis-plus,cdxgen,317,False,229.63,31814,3254,0,0,0,181,136
mybatis-plus,deepseek,3,False,17.01,31814,3254,0,0,0,3,0
incubator-seata,cbomkit,72,False,124.1,28960,14129,3,69,0,0,0
incubator-seata,cdxgen,128,False,149.59,28960,14129,0,0,0,57,71
incubator-seata,deepseek,4,False,25.26,28960,14129,0,0,0,4,0
WxJava,cbomkit,45,False,29.45,18605,9620,13,32,0,0,0
WxJava,cdxgen,180,False,83.28,18605,9620,0,0,0,122,58
WxJava,deepseek,8,False,24.53,18605,9620,0,0,0,8,0
druid,cbomkit,8,False,59.56,89179,20289,2,6,0,0,0
druid,cdxgen,534,False,35.45,89179,20289,0,0,0,305,229
druid,deepseek,8,False,25.14,89179,20289,0,0,0,8,0
RxJava,cbomkit,0,True,22.97,144373,16054,0,0,0,0,0
RxJava,cdxgen,0,True,14.05,144373,16054,0,0,0,0,0
RxJava,deepseek,1,False,12.53,144373,16054,0,0,0,1,0
DataX,cbomkit,14,False,25.03,22958,3886,5,9,0,0,0
DataX,cdxgen,14,False,2297.72,22958,3886,0,0,0,8,6
